"date","rf_m"
1954-01-29,0.00084605195453169
1954-02-26,0.000829538114346162
1954-03-31,0.000854307750792316
1954-04-30,0.000672506954615848
1954-05-31,0.000672506954615848
1954-06-30,0.000531775256025435
1954-07-30,0.00065596158031811
1954-08-31,0.000870817096359389
1954-09-30,0.000821280070136821
1954-10-29,0.000829538114346162
1954-11-30,0.000837795409097009
1954-12-31,0.00084605195453169
1955-01-31,0.000928576227739564
1955-02-28,0.00113456007740464
1955-03-31,0.0011674742711143
1955-04-29,0.00131544102750314
1955-05-31,0.00115101866214506
1955-06-30,0.00121682325463901
1955-07-29,0.00144676541797639
1955-08-31,0.00172520238499563
1955-09-30,0.00177425006198551
1955-10-31,0.00177425006198551
1955-11-30,0.00201094218290732
1955-12-30,0.00205983626984274
1956-01-31,0.00191307520472717
1956-02-29,0.00189675381356835
1956-03-30,0.00189675381356835
1956-04-30,0.00221449464783308
1956-05-31,0.00211684622302366
1956-06-29,0.00199463832021385
1956-07-31,0.00189675381356835
1956-08-31,0.00219009235173906
1956-09-28,0.00239324540576136
1956-10-31,0.00235265101364868
1956-11-30,0.00249870627332371
1956-12-31,0.00264452783879476
1957-01-31,0.00256354466262909
1957-02-28,0.00269308323025008
1957-03-29,0.00243382172225304
1957-04-30,0.00247437997994449
1957-05-31,0.00271735123025563
1957-06-28,0.00264452783879476
1957-07-31,0.00277395145140735
1957-08-30,0.00287089871907664
1957-09-30,0.00283859441682921
1957-10-31,0.00295160943302153
1957-11-29,0.00257974705522401
1957-12-31,0.00226327964177009
1958-01-31,0.00128258030670247
1958-02-28,0.0010522224777223
1958-03-31,0.000912077359674468
1958-04-30,0.000994541801142779
1958-05-30,0.000994541801142779
1958-06-30,0.000622861801126584
1958-07-31,0.00075518871888014
1958-08-29,0.00192123480368322
1958-09-30,0.00222262729435707
1958-10-31,0.00210056130513947
1958-11-28,0.00228766234692412
1958-12-31,0.00220636127531226
1959-01-30,0.00217382052255277
1959-02-27,0.00227140793515868
1959-03-31,0.00228766234692412
1959-04-30,0.00234452996466983
1959-05-29,0.00253113123390492
1959-06-30,0.00257974705522401
1959-07-31,0.00246626977230369
1959-08-31,0.00317722009866994
1959-09-30,0.00335409489945282
1959-10-30,0.00327373978219891
1959-11-30,0.0036267740400886
1959-12-31,0.00359473641104513
1960-01-29,0.0032657003754899
1960-02-29,0.00342635402997815
1960-03-31,0.00248248946590524
1960-04-29,0.00249870627332371
1960-05-31,0.00256354466262909
1960-06-30,0.0018069338440696
1960-07-29,0.0018069338440696
1960-08-31,0.00211684622302366
1960-09-30,0.00189675381356835
1960-10-31,0.00174972952551533
1960-11-30,0.0019783315388433
1960-12-30,0.00181510295719645
1961-01-31,0.00188042949716682
1961-02-28,0.00212498759045965
1961-03-31,0.00212498759045965
1961-04-28,0.00187226624165748
1961-05-31,0.00192939367173928
1961-06-30,0.00187226624165748
1961-07-31,0.00186410225442635
1961-08-31,0.00193755180903254
1961-09-29,0.00183960590102972
1961-10-31,0.00188042949716682
1961-11-30,0.00210056130513947
1961-12-29,0.00219822717665941
1962-01-31,0.00224702087930484
1962-02-28,0.00223075921502014
1962-03-30,0.00226327964177009
1962-04-30,0.00225515062319714
1962-05-31,0.00222262729435707
1962-06-29,0.00238512797392709
1962-07-31,0.00235265101364868
1962-08-31,0.00231203852907069
1962-09-28,0.00225515062319714
1962-10-31,0.00223889040995773
1962-11-30,0.00235265101364868
1962-12-31,0.00240136211457065
1963-01-31,0.00240947810048997
1963-02-28,0.00238512797392709
1963-03-29,0.00239324540576136
1963-04-30,0.00238512797392709
1963-05-31,0.00246626977230369
1963-06-28,0.00245815884284828
1963-07-31,0.00268499246095599
1963-08-30,0.00278203432927215
1963-09-30,0.00276586785680477
1963-10-31,0.00285474799877417
1963-11-29,0.00287089871907664
1963-12-31,0.00287897300644313
1964-01-31,0.00287089871907664
1964-02-28,0.00295160943302153
1964-03-31,0.00287897300644313
1964-04-30,0.0028305165524094
1964-05-29,0.0028305165524094
1964-06-30,0.00284667156557328
1964-07-31,0.00284667156557328
1964-08-31,0.00287089871907664
1964-09-30,0.00291126300709976
1964-10-30,0.00291126300709976
1964-11-30,0.00314502415751705
1964-12-31,0.00312892192347869
1965-01-29,0.00316917217891932
1965-02-26,0.0032657003754899
1965-03-31,0.00321744904794241
1965-04-30,0.0032013595976057
1965-05-31,0.0032013595976057
1965-06-30,0.00312086974013481
1965-07-30,0.00312086974013481
1965-08-31,0.00319331380788213
1965-09-30,0.00328981647003657
1965-10-29,0.00332196134704477
1965-11-30,0.00337818763700648
1965-12-31,0.00366680526301311
1966-01-31,0.00377879934390002
1966-02-28,0.00378679366381562
1966-03-31,0.00369081556915307
1966-04-29,0.00379478728344429
1966-05-31,0.00378679366381562
1966-06-30,0.00373881723552127
1966-07-29,0.00389065614323014
1966-08-31,0.00412192431926517
1966-09-30,0.00434466313983473
1966-10-31,0.00424927018061783
1966-11-30,0.00420153629763109
1966-12-30,0.0039225900629809
1967-01-31,0.00368281283577376
1967-02-28,0.00370681893055314
1967-03-31,0.00328177848033762
1967-04-28,0.00305642666425943
1967-05-31,0.00283859441682921
1967-06-30,0.00327373978219891
1967-07-31,0.0033701574315379
1967-08-31,0.0035787133767835
1967-09-29,0.00358672524566694
1967-10-31,0.00372281948566644
1967-11-30,0.00403427087358321
1967-12-29,0.00410599358847086
1968-01-31,0.00397844755015164
1968-02-29,0.00409006007693691
1968-03-29,0.00420949367822132
1968-04-30,0.00447963278800168
1968-05-31,0.00461440323932605
1968-06-28,0.0043128765598297
